Magic_Keys,Total_Meat_Purchased
28D913198E0,3.6
28D91662038,2.2
28D92736130,3.6
28D92B06481,1.8
28D92D67D9B,2.2
28D948D447A,2.2
28D9633B5D4,3.6
28D96D9BC80,2.2
28D973F6A2D,3.6
28D97CC66B2,2.5
28D984115EE,3.3
28D99963290,3.6
28D9AAC1CD5,0.0
28D9AAD8B3C,2.9
28D9AAE536F,2.2
28D9AC62F66,2.2
28D9B2F6B6A,3.6
28D9B660B24,3.3
28D9D8D48ED,2.2
28D9DB5D14A,2.5
28D9DD3E74B,2.5
28DA05E142B,2.2
28DA06A7CEA,3.6
28DA0DC1A76,3.6
28DA0E88E8A,2.5
28DA10CAD7A,3.6
28DA12463AB,2.4
28DA1E3CB5F,3.6
28DA1FE7508,3.6
28DA3913B2F,3.6
28DA40E5748,3.6
28DA435CBE6,2.2
28DA4B2F354,0.0
28DA5418B94,0.0
28DA6F3CACE,3.6
28DA76E86C0,3.3
28DA7FFA8B4,2.2
28DA82548EE,3.6
28DA84063E9,2.2
28DA8B23657,3.6
28DA8B55723,3.3
28DA9CD1205,0.0
28DAA49CBE8,5.0
28DAB720D6A,2.2
28DAB8A8807,2.2
28DAC8749ED,3.6
28DAD15BC67,0.0
28DADA3F271,2.0
28DAE034415,2.2
28DAF1CE63E,2.4
28DAF5486D4,0.0
28DAFAF109C,3.6
28DAFF84403,2.2
28DB0E37318,3.6
28DB1548C6F,2.2
28DB1DBA5CB,2.2
28DB247602E,0.0
28DB2CD4005,3.6
28DB41BCF83,2.2
28DB56B3289,3.6
28DB5E571D4,0.0
28DB5F3636B,2.2
28DB62D23F1,2.5
28DB79369A0,2.5
28DB8840A8C,2.5
28DB8F9A3FA,0.0
28DBC2FD520,2.2
28DBCCA11B3,3.6
28DC0648D74,2.4
28DC1B70D7F,2.9
28DC28EE47B,2.4
28DC3607618,2.2
28DC4250417,2.2
28DC450B4CE,2.4
28DC62C7D41,2.2
28DC639B5C1,3.6
28DC669EA56,2.9
28DC79711EC,3.6
28DC7F925ED,0.0
28DC868CD16,2.0
28DC9A4175E,0.0
28DC9DA7AA8,0.0
28DC9F99185,2.5
28DCC7311FF,0.0
28DCD4195B3,2.2
28DCD788C4E,2.2
28DCD9C893F,2.2
28DCEEBD962,2.5
28DCF140ADE,3.6
28DD170A387,3.3
28DD173DEC4,2.5
28DD29F13BE,2.0
28DD3F3D5B8,2.5
28DD3FEC4BB,2.2
28DD411A3F4,2.5
28DD45A12EF,0.0
28DD6AC9B72,2.2
28DD7474957,2.9
28DD86307A9,3.6
28DD87A5F6B,3.6
28DD94F9609,2.4
28DD988AC94,2.5
28DD9D9666D,1.8
28DDA66B60C,2.4
28DDB03BC8A,3.6
28DDC2B8CBA,2.2
28DDC789DCB,3.6
28DDD10E7C2,2.4
28DDF69B5A4,2.4
28DDFE1C9AA,2.2
28DE0D0BBF8,2.2
28DE205C0E1,3.3
28DE4336D96,3.6
28DE440F1A2,1.8
28DE4B9A815,3.6
28DE5AB1134,2.5
28DE6E710CC,3.6
28DE75C2605,2.4
28DE7B88BBF,2.5
28DE7CF9F83,2.4
28DE871756B,2.2
28DE9A78A4C,2.5
28DE9D5C4B7,2.2
28DEA300A81,2.2
28DEAEEF58E,2.4
28DEB0C783E,2.0
28DEB929485,3.6
28DEE3D378D,2.5
28DEEB4CB25,2.4
28DEFCE0EDF,2.2
28DF0E1C28A,2.5
28DF29595F1,3.6
28DF409F6C4,3.6
28DF5276F09,2.2
28DF72FD9F3,3.6
28DF84464ED,2.0
28DF85C6E38,3.6
28DF9184795,3.6
28DF9604CCC,3.3
28DF9FE817A,2.5
28DFA57514F,2.9
28DFB254940,2.4
28DFC980303,3.6
28DFCAEA575,2.4
28DFE07D4A3,3.3
28DFE49FE3F,3.6
28E013DD875,0.0
28E0259A9AA,0.0
28E02D26F39,2.4
28E06363496,3.6
28E06417A7A,2.4
28E073E4F43,3.6
28E07AC78E9,3.6
28E08A92BB3,0.0
28E08D78FAB,1.8
28E0A6CD431,2.5
28E0A86AA52,1.8
28E0AA241F4,0.0
28E0B09E9CB,3.6
28E0BC5DD99,3.6
28E0CBFDD22,2.5
28E0F4C8C28,2.5
28E105211CC,3.6
28E10994B09,2.0
28E109AC88C,3.6
28E1171CFC7,3.6
28E11C30DD5,3.6
28E11DB4474,2.5
28E127DEDE4,3.3
28E12C7929D,3.6
28E135EE70D,3.6
28E163DC5E1,3.3
28E18E30267,3.6
28E1ACEF6D2,2.9
28E1AF337C1,3.6
28E1BE4023A,3.6
28E1BEF0BAE,3.6
28E1D2B530B,3.6
28E1D324265,2.2
28E232B1C17,3.6
28E2AB9B32F,3.6
28E2C005DCC,0.0
28E2C1AD65A,3.6
28E2CA9FA5D,3.6
28E2D1D99A1,3.3
28E2D296F0F,3.3
28E2DF72E57,0.0
28E2F510B47,2.2
28E300DF49C,2.4
28E30FA5D36,3.6
28E3113F6E7,3.6
28E313034BD,3.6
28E31FF8FC0,3.6
28E32355BF2,0.0
28E333FA1E4,2.5
28E354D9CDD,2.2
28E3621614D,0.0
28E36993155,3.6
28E369B3E62,3.3
28E36BFE187,2.5
28E3741F697,2.4
28E3762F882,2.4
28E37A42509,3.6
28E399D469F,2.4
28E3BEAFBF1,2.5
28E3C124702,2.2
28E3E523BD8,2.2
28E3F3AB01E,2.4
28E4133F3B3,2.4
28E41E5935D,3.6
28E4208C81B,2.4
28E4258D7F9,2.4
28E43163667,3.6
28E437DF4E8,2.4
28E47D7FE23,3.6
28E4885877A,3.6
28E48CBD685,2.4
28E4A7B040F,2.4
28E4B5927F8,2.2
28E4C70DB4C,0.0
28E4D6DAC4E,2.5
28E4DD4E69A,2.2
28E4E54266A,3.6
28E4E60659C,2.4
28E4E66C56C,2.4
28E4EE5EACB,2.2
28E4FAA9702,2.2
28E501DF248,2.2
28E5094B258,2.5
28E510ACC34,0.0
28E530E10D3,3.6
28E5388DFA8,3.3
28E53BFD27C,3.6
28E54D18836,2.5
28E5534E89F,2.4
28E5861332C,2.4
28E589202A0,3.6
28E5907CD29,2.5
28E59C9EBE5,3.6
28E5CF62EE4,2.4
28E5D06CC2E,3.6
28E5D1F55E7,2.5
28E5EB83419,3.6
28E5F2E6C2D,2.5
28E61616C81,2.2
28E61698A0B,3.6
28E634DA8B1,2.2
28E65EC104E,3.6
28E65FD3594,3.6
28E664A0DFC,0.0
28E665AF30B,2.4
28E673BFB50,3.6
28E6AB0DE65,1.8
28E6AD9268B,2.2
28E6BA88555,2.5
28E6C318231,3.6
28E6CA87723,2.4
28E6CB23F84,3.6
28E6D323C32,2.4
28E6E950A34,3.6
28E6FB7248F,3.6
28E6FC2F9FD,2.5
28E6FF5E961,3.6
28E701F7DEF,3.6
28E70A3B2EF,3.6
28E7100FF14,2.9
28E71E1C722,2.2
28E72D1544F,0.0
28E732AB775,2.4
28E75340503,2.9
28E75599621,3.6
28E77837F9D,3.6
28E798E28AF,3.6
28E7A1B5A16,2.2
28E7A87275C,2.2
28E7AC61982,2.9
28E7B6FDFA0,2.5
28E7BB0CFB7,2.5
28E7C2230D3,2.4
28E7CFF31E1,2.4
28E7D2506FD,2.5
28E7DB89834,2.5
28E7E9BEDBD,2.4
28E809E6DF0,2.5
28E80C992E4,3.6
28E817EFD55,3.6
28E8563DAAD,0.0
28E8563ED90,2.9
28E85695F67,2.2
28E8663392A,2.2
28E86C84BF8,2.2
28E87280399,0.0
28E876CAF5B,2.5
28E87B08007,3.6
28E885F86E1,3.6
28E89923ABF,3.3
28E89BD0C99,3.6
28E89F10467,3.6
28E89F11ED8,2.9
28E8A05923E,2.2
28E8B1A99DF,3.6
28E8B229931,1.8
28E8B918B0A,2.2
28E8F2CBC1B,3.6
28E8F2EC19A,3.6
28E8F94F37C,2.5
28E91CEF60D,2.5
28E91F899B7,3.6
28E925AA9F1,2.2
28E96199B83,2.9
28E9A0DBE68,2.2
28E9C2EA3EF,2.9
28E9D299171,2.4
28E9D6C59B3,2.5
28E9DE4B945,3.6
28E9E5B391E,2.5
28E9ECBE123,2.2
28E9EEE0222,3.6
28EA1CF2E3A,2.4
28EA28AE1D1,2.9
28EA368B667,3.6
28EA611630C,3.6
28EA735F071,3.6
28EA8601D01,2.5
28EAB2E12FF,2.4
28EAB2F724A,0.0
28EAB55659E,3.6
28EABC4C502,2.5
28EABC64A13,2.5
28EABCAE862,2.4
28EABD22E9D,2.0
28EACE5DE81,2.5
28EAD2435C8,2.5
28EAD3A0C40,3.6
28EAEF15754,3.6
28EB1239ACA,2.2
28EB16083AA,2.2
28EB2FE3C9B,2.5
28EB3713D39,2.4
28EB39110F4,3.6
28EB3E9E857,3.6
28EB54A9669,3.6
28EB5775ADF,0.0
28EB57CCCB6,3.6
28EB5F0CA69,2.4
28EB6F68128,2.5
28EB848AE19,3.6
28EBA2551A2,3.6
28EBB2EF160,0.0
28EBB7AF279,2.2
28EBC267651,2.5
28EBDD84439,2.2
28EBDE1D7B8,2.2
28EBED59970,2.0
28EBF2DAC67,0.0
28EBFCCAD0F,0.0
28EBFD12598,2.2
28EC13DFC32,0.0
28EC1F252E4,2.2
28EC32C0538,2.2
28EC3AB04D1,3.3
28EC3C2D573,1.8
28EC6507639,0.0
28EC6DDE049,3.6
28EC75665A1,2.2
28EC81EF349,0.0
28EC8A2ABA2,2.2
28EC9187264,3.6
28EC982D50A,2.2
28EC98FEF52,3.6
28EC9BE5E9F,3.6
28EC9BF450A,2.4
28ECBCFE061,2.5
28ECC3120DA,2.4
28ECDB88A73,2.4
28ECDD2773E,3.6
28ED1986ED4,0.0
28ED1C02EFE,2.2
28ED1E4FBB0,0.0
28ED5D2EFE0,2.2
28ED624CC94,3.6
28ED82C5C68,2.5
28ED935BBEF,2.5
28EDA3DA581,2.2
28EDA5BA111,2.2
28EDBBC6206,3.6
28EDCA7898D,3.6
28EDCEAA8B0,2.2
28EDCFA9838,2.2
28EDD13FD07,3.6
28EDDBEDE72,3.6
28EDE3A390A,3.6
28EDE82B35A,2.5
28EE2AEA429,2.5
28EE3DE7F00,3.6
28EE53AA56D,2.9
28EE580DA07,2.5
28EE637051D,2.5
28EE793CDF7,2.9
28EE7CAE691,0.0
28EE83A36D9,0.0
28EE89F45E0,2.2
28EE8BD5BE1,2.2
28EE931CAE6,2.2
28EEA82A7A8,2.2
28EEBD39B14,3.6
28EEBD6E56D,2.2
28EECA161EA,0.0
28EECD665E9,0.0
28EEE13AE22,2.4
28EEE24F567,2.5
28EF0ABEE98,0.0
28EF0E0C543,2.0
28EF20D86DC,2.2
28EF459BEAB,2.5
28EF48D6EB4,0.0
28EF5194FEC,2.2
28EF526F5F7,3.6
28EF53655F5,2.2
28EF78601AA,2.2
28EF798FB54,2.2
28EF848A862,0.0
28EF88D8906,2.5
28EF8ED29FD,2.2
28EF9690C91,2.2
28EF96A6FA3,2.5
28EFAEC72BA,2.2
28EFC762997,0.0
28EFD069DC9,3.6
28EFFE19EF3,3.6
28F00D74064,2.2
28F00D90D3A,3.6
28F02128AAC,2.2
28F02A672C4,2.2
28F02A73AF7,2.2
28F02F9AAFC,3.6
28F03C3F297,2.2
28F04AFF8FB,2.5
28F050ABB6C,3.6
28F0546F2C3,3.6
28F058BFCF4,0.0
28F058F74A1,3.6
28F0960BD70,2.4
28F0973ABC5,3.3
28F09ECC835,2.2
28F09FDE5ED,2.2
28F0A927F8E,3.6
28F0B157B09,2.5
28F0B1A46AC,1.8
28F0B2EA368,3.6
28F0B819014,3.6
28F0BB5841B,0.0
28F0BC47A55,3.6
28F0C2787A4,2.5
28F0C7F65B9,2.5
28F0D0C7521,3.3
28F0DEB961F,2.2
28F0DF92D0E,3.6
28F0E7AC577,2.5
28F0E99673B,2.4
28F0EA90EFE,3.6
28F0EEB6227,3.6
28F0F1AD617,2.2
28F0F5DF901,2.5
28F0F8952D7,2.2
28F0FF51101,2.4
28F102BDA48,2.2
28F10825912,2.4
28F11530BD2,2.2
28F1188CCAF,3.6
28F12855D7A,2.2
28F128EF4C0,2.2
28F12BDE842,5.0
28F12FDADF0,2.2
28F148D2D85,3.6
28F14CCFAC1,2.2
28F1984A702,2.5
28F19A753C4,2.9
28F19C7497E,0.0
28F1A0505E6,0.0
28F1A83DFB9,2.5
28F1AA7A03A,0.0
28F1DBE6B30,2.5
28F1E536E95,1.8
28F1FB064C3,3.6
28F2023F124,2.4
28F20E754BA,0.0
28F217C7657,2.9
28F229786E7,2.5
28F23531C46,3.6
28F2413CC9B,2.2
28F2427CAE8,3.6
28F252E1C86,2.2
28F262BB982,2.2
28F26582ADE,2.2
28F27531FEE,2.2
28F2757E7CA,3.6
28F27C78EF3,2.2
28F27E1B0A0,2.2
28F28A03D3E,2.4
28F292585FD,2.2
28F2A012B87,3.6
28F2AA5E992,0.0
28F2CB32F3B,2.2
28F2D2792EB,2.2
28F2D65D388,3.6
28F2EFE0031,3.6
28F2F77EC62,2.2
28F2F7A88F9,3.6
28F2FCBA8CF,3.6
28F2FCFC6B0,2.2
28F2FE94229,2.2
28F303284AC,2.4
28F306C2E88,2.2
28F3186ABC7,3.6
28F31BD47BA,2.2
28F324C05C0,0.0
28F32AC455D,2.2
28F32D27521,2.2
28F3312F7AD,2.0
28F3484BFB0,2.4
28F3588CF5F,3.6
28F36189D5D,2.2
28F3637BF8F,2.4
28F368FB815,3.6
28F36C569D6,3.6
28F38FF3B4C,3.6
28F3A1684DC,3.6
28F3A307CFC,3.6
28F3A5AA4DB,0.0
28F3AAB0B9A,2.9
28F3ABD84D6,2.2
28F3AC5402A,2.2
28F3AE1B6A9,2.5
28F3BB79B09,2.2
28F3BC2460E,2.2
28F3CFA2B8C,3.3
28F3D21FE99,2.2
28F3DFD1860,2.2
28F3E0C61B4,2.4
28F3EF4ECA4,3.6
28F3EF97810,0.0
28F3F66E111,2.2
28F3F6A5C85,2.2
28F3F85154A,2.2
28F3FAD59A9,1.8
28F43B47638,2.5
28F43C6A3E8,2.0
28F43E554C8,2.2
28F4437F9AF,0.0
28F44AB27A1,0.0
28F451221B6,2.2
28F4638562B,2.2
28F46AD459E,3.6
28F470BFC63,2.2
28F4895D178,2.2
28F495F50E0,1.8
28F4988F0C3,2.5
28F498EFD79,2.2
28F4B12FABA,3.6
28F4DC25E10,0.0
28F4E0ADC27,2.2
28F4F9A2313,2.0
28F4F9DB531,0.0
28F50597F72,2.9
28F5112E1FE,3.6
28F513E3446,3.6
28F51968F02,3.6
28F5273B5D6,3.6
28F52B4697D,3.3
28F52CA9A9D,3.6
28F52FA0AC6,2.2
28F533BF42B,2.4
28F537CD8ED,3.3
28F53D1211D,2.2
28F53FCD59B,2.4
28F54C25CE8,2.9
28F54E4C1E5,2.5
28F558E12EA,2.2
28F55B79495,2.2
28F572B076F,2.4
28F58494BAE,1.8
28F58808647,2.5
28F588F6D65,0.0
28F5913EDF1,0.0
28F5921D433,2.2
28F5B4959C1,2.4
28F5BCF9BCE,2.2
28F5BF89944,2.0
28F5C9B2843,2.2
28F5CAAC0EA,3.6
28F5D0B4FDA,2.0
28F5D0FFD45,2.4
28F5D4062F5,2.5
28F5EAAAFDB,2.2
28F600B877A,2.5
28F613909B8,3.6
28F6265C78A,3.3
28F630D570E,3.6
28F6333DDB3,2.4
28F634A5E26,2.2
28F6355F724,2.9
28F6385894C,2.5
28F63926724,1.8
28F63CCFEF9,2.5
28F63CFF271,3.6
28F644983FA,3.6
28F651C78A9,0.0
28F65C15C7A,3.6
28F66ABE55B,2.2
28F67782AE7,3.6
28F67D47DBE,0.0
28F69A90F12,2.2
28F6B811085,2.2
28F6B9B5BBF,2.2
28F6C6698E1,2.4
28F6CA44266,2.2
28F6ED6D168,2.0
28F6EE31461,0.0
28F6EFFCB17,0.0
28F6F779391,2.9
28F6F792030,2.2
28F70C250BA,2.0
28F7402D604,0.0
28F74E32CC0,2.9
28F77250CA4,2.2
28F7777A636,2.0
28F778650E4,1.8
28F77F78C3A,2.5
28F7980FF19,0.0
28F79B48595,1.8
28F7A1A6BEB,3.6
28F7A53C2AD,0.0
28F7A78AD97,3.6
28F7B2649D1,2.4
28F7B7E7B00,0.0
28F7BB4DE4A,3.6
28F7BC2AA1B,3.6
28F7C05725D,2.2
28F7D1929CF,2.2
28F7D5841BB,2.2
28F7E6F4B14,0.0
28F7E72828A,0.0
28F8000F9B5,2.2
28F8003CB2E,0.0
28F806D3C14,3.6
28F82E88D2B,2.9
28F82F374A0,2.2
28F84EC9DC4,2.2
28F85035319,2.2
28F862EFD2C,3.6
28F8926B145,2.5
28F89B6B05E,3.6
28F8A2EF946,3.3
28F8B2DDB1C,0.0
28F8B4AC2ED,2.5
28F8C2A5CCB,3.6
28F8C83C77F,2.5
28F8CA3B972,0.0
28F8CB5F277,3.6
28F8E62616B,0.0
28F8FDAA776,2.2
28F907111B4,3.6
28F90A844BF,2.4
28F90B35D4F,0.0
28F90F3D84D,1.8
28F9128EB68,3.6
28F9171C060,2.2
28F921B372B,0.0
28F92F1C586,2.2
28F9325043D,0.0
28F937F4279,0.0
28F9413541E,2.5
28F941863BF,1.8
28F94F7B5D8,3.6
28F95144A8F,2.2
28F9516AE7D,2.0
28F9563BF8E,0.0
28F959CD619,2.2
28F966E0D0E,2.9
28F96AE9728,2.2
28F96FD2D4A,2.0
28F977D0F87,2.5
28F9840603A,2.2
28F984AD65D,2.2
28F98BA44DD,3.6
28F990FB3AF,0.0
28F9918CE4E,0.0
28F99584870,2.2
28F996276CE,2.2
28F998D35C5,2.2
28F99F40286,0.0
28F99F97BEB,2.2
28F9A622865,2.2
28F9A7DE994,0.0
28F9A940043,3.6
28F9AE43220,3.6
28F9BFB3024,0.0
28F9C81F29F,0.0
28F9D7ECEF6,2.9
28F9D908F1B,2.2
28FA01AB834,2.4
28FA210E652,2.5
28FA369CDBB,2.4
28FA441C6B6,2.2
28FA4493E0C,3.6
28FA45650C6,2.4
28FA4E0120E,2.5
28FA5073392,2.2
28FA5C915DE,3.6
28FA684A3AF,3.6
28FA6997D12,2.2
28FA78603E4,3.6
28FA7ABD539,2.2
28FA84F37C0,3.6
28FA8614371,3.6
28FA8E3C60C,2.2
28FA8EB0880,0.0
28FA902DCE9,2.5
28FA9211122,3.6
28FA95A5501,3.6
28FA9617D04,2.5
28FA97AA92A,1.8
28FA99002FB,0.0
28FAA4C241D,3.6
28FAAA1219D,2.2
28FAAB4AE98,3.6
28FAAC727D4,3.6
28FAAF54F5C,2.5
28FAB84E878,3.6
28FAB973099,2.5
28FAC5A1B4F,3.3
28FAC5D8F35,2.2
28FACD6C24F,2.0
28FADA65234,2.4
28FADB320F0,2.4
28FADC911D9,3.6
28FADD65975,0.0
28FAE32D9A0,3.6
28FB0DD56E2,2.5
28FB2536A1A,2.4
28FB3261ACB,0.0
28FB3809577,0.0
28FB46BEE19,2.2
28FB5F670F0,2.5
28FB65C042C,0.0
28FB6F1B553,2.5
28FB8116432,2.4
28FB87EC96C,3.6
28FB8FD0FEE,2.0
28FB95588E2,2.2
28FB9A1331A,3.6
28FB9A90CA6,3.6
28FBA4C0569,3.6
28FBA56A519,2.2
28FBA584C29,3.6
28FBB636D31,2.2
28FBB6493D3,0.0
28FBBA25F57,3.6
28FBBE9C9AF,0.0
28FBC9D81BB,3.6
28FBCAB7EA7,2.9
28FBE913908,3.6
28FC0E8016B,0.0
28FC278E7D9,3.6
28FC3DE3801,0.0
28FC43B87ED,2.2
28FC51E7F07,2.2
28FC5D37BED,3.6
28FC77D68BB,0.0
28FC7E3E629,2.4
28FC7E61535,2.2
28FC827EF7E,3.3
28FC8908915,0.0
28FC8EB9712,2.5
28FC9307028,2.5
28FCB4E5AA9,1.8
28FCB65BDC0,0.0
28FCC2C3306,0.0
28FCCE9861F,2.5
28FCD336748,1.8
28FCED52EFE,2.5
28FD0C3B872,0.0
28FD1AB95A0,2.2
28FD2DA7AF0,0.0
28FD3063335,3.6
28FD375F108,2.4
28FD3E6E0D2,2.5
28FD3FA0F5E,2.9
28FD5DF366E,2.2
28FD5F660DC,1.8
28FD632D0DC,3.6
28FD767A0E3,2.4
28FD8D1167A,2.5
28FDAFEB413,2.2
28FDC750F10,2.2
28FDC92BF14,1.8
28FDD64675B,3.6
28FDDD1FDB0,2.5
28FDF3D9337,3.6
28FE0C34A6B,2.4
28FE24AF802,2.4
28FE2CB971D,2.9
28FE3DF9A1B,3.3
28FE6045985,2.5
28FE7E87464,2.2
28FE87A16C6,3.6
28FE89BF000,1.8
28FE8C94B8E,1.8
28FE8F63D58,3.6
28FE9BDC296,2.9
28FEAA73B7F,3.6
28FED14D3A8,3.6
28FED1F7358,3.6
28FEEF875A7,0.0
28FF0F028D6,3.6
28FF40E3640,3.6
28FF6353799,3.6
28FF6631395,2.5
28FF682906F,2.2
28FF68AF985,2.2
28FF6B3D4FC,2.5
28FF6CE9CDD,2.2
28FF8F5C3FC,2.2
28FF9359138,3.3
28FF952F5B0,3.6
28FFA877A2B,2.4
28FFB3F1EFD,3.6
28FFBE63D2F,2.2
28FFC3E6309,2.2
28FFC4B00AA,1.8
28FFD3E14A0,2.2
28FFD898DBD,2.2
28FFE7F3A83,2.2
28FFED56633,0.0
28FFF4F7BF1,0.0
29000D0EF7E,2.2
290018450A9,2.5
29001992645,2.5
29001E7B4D9,3.3
29002744B61,2.2
29004A6929E,3.6
29004CACBFF,2.2
29004D76212,3.6
290061DAA79,2.2
29007226F78,2.5
29007BF2A6A,2.5
29008186403,3.3
290081DD5DA,2.4
2900831A6D3,0.0
29009F2D4B9,3.6
2900AD9DA98,3.6
2900B82DC4A,3.6
2900BB9E98F,2.2
2900C1BAA76,2.2
2900C1DB3BC,3.6
2900DC16E0E,3.6
2900DD445B9,3.6
2900DF125FC,2.2
2900E1F9549,0.0
2900EF7779A,3.6
29010912D1B,2.9
29010A51885,2.2
29010AD7A0D,0.0
29013ECA00C,2.4
2901514FBFF,2.2
290155E0D67,0.0
29015B97245,0.0
2901682E291,3.3
29017258C01,0.0
290174CA230,2.2
29017C743B1,3.6
2901802014C,2.5
290184E9D44,3.6
29018B48B28,3.6
29018E092C0,2.2
29019F5162C,1.8
2901AFB1877,2.4
2901B78E619,2.4
2901B7E79EF,2.5
2901B7FAFAD,2.2
2901BE63870,2.2
2901CD803C5,2.2
2901D5B15EA,2.5
